"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Philippe Poutou","I-télé","Sud  Est","2 000 à 20 000 habitants","Homme","50 à 64 ans","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","Sans opinion"
"François Bayrou","Aucune","Sud  Est","Plus de 100 000 habitants","Femme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","M6","Nord","Moins de 2000 habitants","Femme","18 à 24 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"Abstention","TF1","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","employés et personnels de services","BAC technique","Sans religion","NA"
"Abstention","Aucune","Nord","2 000 à 20 000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","CAP/BEP","Sans religion","NA"
"François Hollande","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Dupont-Aignan","Aucune","Centre","20 000 à 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","TF1","Nord","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Une ou deux fois par mois"
"Nicolas Sarkozy","I-télé","Ouest","Plus de 100 000 habitants","Homme","18 à 24 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Eva Joly","Aucune","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","retraités / autres inactifs","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","Jamais"
"François Hollande","France 2","Paris","Agglomération parisienne","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC technique","Sans religion","NA"
"Abstention","TF1","Paris","Agglomération parisienne","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Une ou deux fois par mois"
"Abstention","TF1","Sud Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Centre","Moins de 2000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","employés et personnels de services","retraités / autres inactifs","Sans diplôme","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","Aucune","Paris","2 000 à 20 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Catholique","Une ou deux fois par mois"
"François Hollande","BFM TV","Sud  Est","Plus de 100 000 habitants","Femme","25 à 34 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Musulmane","De temps en temps, aux grandes fêtes"
"Abstention","France 3","Centre","2 000 à 20 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","BEPC","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","Autre","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","I-télé","Est","2 000 à 20 000 habitants","Femme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","BAC+2 / niveau BAC+2","Sans religion","NA"
"NA","France 2","Sud  Est","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BEPC","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","I-télé","Sud  Est","20 000 à 100 000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Musulmane","Jamais"
"Abstention","I-télé","Sud  Est","Moins de 2000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","employés et personnels de services","Certificat d'études primaires","Catholique","Au moins une fois par semaine"
"Abstention","TF1","Nord","Plus de 100 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"François Bayrou","Aucune","Sud Ouest","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Au moins une fois par semaine"
"Nicolas Sarkozy","France 2","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","ouvriers","agriculteurs exploitants","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Jean-Luc Mélenchon","France 2","Paris","Agglomération parisienne","Femme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","agriculteurs exploitants","artisans, commercants et chef d entreprises","CAP/BEP","Sans religion","NA"
"Nicolas Sarkozy","TF1","Ouest","Moins de 2000 habitants","Femme","35 à 49 ans","agriculteurs exploitants","employés et personnels de services","CAP/BEP","Sans religion","NA"
"Abstention","BFM TV","Sud  Est","Moins de 2000 habitants","Homme","65 ans et plus","artisans, commercants et chef d entreprises","artisans, commercants et chef d entreprises","CAP/BEP","Catholique","Jamais"
"NA","Aucune","Sud  Est","2 000 à 20 000 habitants","Homme","18 à 24 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","retraités / autres inactifs","CAP/BEP","Catholique","Jamais"
"Nicolas Sarkozy","TF1","Paris","Agglomération parisienne","Femme","35 à 49 ans","employés et personnels de services","employés et personnels de services","CAP/BEP","Protestante","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Protestante","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","France 2","Ouest","Moins de 2000 habitants","Femme","65 ans et plus","employés et personnels de services","employés et personnels de services","BEPC","Catholique","Une ou deux fois par mois"
"François Hollande","France 2","Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions libérales et cadres","CAP/BEP","Catholique","De temps en temps, aux grandes fêtes"
"Eva Joly","France 2","Centre","Moins de 2000 habitants","Homme","50 à 64 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"NA","Aucune","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","France 2","Paris","Moins de 2000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Bayrou","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","artisans, commercants et chef d entreprises","employés et personnels de services","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Est","Plus de 100 000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","CAP/BEP","Catholique","Jamais"
"François Hollande","France 2","Nord","Plus de 100 000 habitants","Homme","65 ans et plus","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC général","Catholique","De temps en temps, aux grandes fêtes"
"Abstention","France 3","Nord","Moins de 2000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","Aucune","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Juive","De temps en temps, aux grandes fêtes"
"Marine Le Pen","France 2","Paris","Agglomération parisienne","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC général","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","Moins de 2000 habitants","Homme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC technique","Catholique","De temps en temps, aux grandes fêtes"
"François Hollande","Aucune","Sud  Est","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans opinion","NA"
"Nicolas Sarkozy","France 2","Est","20 000 à 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Sud Ouest","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC général","Catholique","Uniquement pour les cérémonies, mariages"
"Abstention","TF1","Sud Ouest","Plus de 100 000 habitants","Femme","50 à 64 ans","ouvriers","employés et personnels de services","Sans diplôme","Protestante","De temps en temps, aux grandes fêtes"
